seed,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,inception_score,inception_score_std,feature_pairwise_distance,sobel_sharpness,nearest_neighbor_mean_distance,nearest_neighbor_median_distance,memorization_rate_below_real_1pct_threshold,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,peak_gpu_memory_mb,final_training_loss,training_tail_cv,training_loss_slope,nonfinite_loss_count
5,VAE,47.021792500935305,1.8638673067092892,0.0749304003288939,0.7128748297691345,0.7372599244117737,0.4294,10,0.9180194521956524,3.9718801498413088,0.0926197574936001,9.619763374328612,0.5523774027824402,2.082474708557129,2.024315357208252,0.0078125,0.4129932533332976,0.0340066999997361,0.0068013399999472,1700865,558.15380859375,236.35224602864585,0.0005416644023628,-1.6625756970465295,0
5,DDPM,9.697587950505806,0.4354476451873779,0.0751839530023553,0.8212319612503052,0.908828854560852,0.628,10,0.9845496072702674,6.040993165969849,0.0975691321206522,13.331430435180664,0.6986079216003418,1.6062743663787842,1.5060572624206543,0.015625,4.7843528366666455,41.19521760000134,8.239043520000267,5216833,6274.93408203125,0.0701658755283931,0.0054606938036851,-0.001906210078362,0
6,VAE,45.68728591522464,1.8743499279022215,0.115455884139101,0.7166752815246582,0.7353711724281311,0.433,10,0.9302788813953424,4.057520580291748,0.1775759394008051,10.076821327209473,0.5434721112251282,2.269708633422852,2.1851067543029785,0.0,0.4178379466666835,0.0415476000016497,0.0083095200003299,1700865,558.15380859375,236.31153428548177,0.0004985029647749,-1.4288168996331605,0
6,DDPM,14.14026564602284,0.7597544193267822,0.1436182755047079,0.8540199398994446,0.9577681422233582,0.702,10,0.9608205656577748,6.21199369430542,0.1044616702691672,14.90456485748291,0.6056903004646301,1.5946226119995115,1.4985237121582031,0.0078125,4.831203436666631,41.02571950000129,8.205143900000259,5216833,6274.93408203125,0.0709272232548944,0.0058310160047056,-0.0018451870670514,0
7,VAE,40.47085083574777,1.5233376979827882,0.1198306001335065,0.7197543978691101,0.7445274591445923,0.4462,10,0.94006258984032,4.160354733467102,0.1682736006823317,9.807500839233398,0.551335334777832,2.1242151260375977,1.9504220485687256,0.0,0.4208057983333371,0.0426394999994954,0.008527899999899,1700865,558.15380859375,236.2849939860026,0.0004599884990477,-1.6293043321564522,0
7,DDPM,8.490574104595026,0.349274206161499,0.0523219786259274,0.8318906426429749,0.925084352493286,0.6492,10,0.9859983970746404,6.191787481307983,0.1063727242540579,13.190117835998535,0.6954495906829834,1.5747814178466797,1.5164265632629397,0.0,4.83495809833336,41.27753490000032,8.255506980000064,5216833,6274.93408203125,0.0706328107365246,0.0022774490686486,-0.0016313764252906,0
8,VAE,51.24386180271759,2.4276010274887083,0.0935119953416559,0.7041367888450623,0.7159438133239746,0.4108,10,0.945358124355726,3.9635980129241934,0.0813533569733849,9.704961776733398,0.5602914094924927,2.3149547576904297,2.318427562713623,0.0078125,0.4113604100000278,0.0397019000010914,0.0079403800002182,1700865,558.15380859375,236.558708577474,0.0005345204118067,-1.5703912556527966,0
8,DDPM,26.046434322990365,1.4160955429077149,0.1880789673187183,0.8536370992660522,0.964767038822174,0.699,10,0.8998121572684894,5.406249237060547,0.121130035606865,14.188485145568848,0.5110311508178711,1.5833204984664917,1.4354476928710938,0.0234375,4.714659456666717,40.33306160000211,8.066612320000424,5216833,6274.93408203125,0.0704291701830666,0.0038638081132837,-0.0016417928248727,0
9,VAE,40.64692397772086,1.8085860729217529,0.0977585399759492,0.7299221158027649,0.759417712688446,0.4542,10,0.9481178453981144,4.274375915527344,0.1220462446193494,9.972201347351074,0.5513090491294861,2.1630139350891118,2.096494674682617,0.0,0.3683701150000464,0.0426974000001791,0.0085394800000358,1700865,558.15380859375,236.38910720214844,0.0005194943088242,-1.5821034240347036,0
9,DDPM,10.267531370604672,0.4375389575958252,0.0646957037959662,0.8482092618942261,0.94927179813385,0.682,10,0.9705442700122484,6.213221740722656,0.1280087934886355,14.135591506958008,0.6351917386054993,1.5895450115203855,1.5247719287872314,0.0078125,4.741006110000004,40.20309649999763,8.040619299999525,5216833,6274.93408203125,0.0702434746098929,0.0043422031461539,-0.0017479215612863,0
